"Property","Property label in Settings dialog","Description","Default value","Is read-only?","Is settable only as a Command line option?","Is encrypted?"
"config.properties.readonly","","Do not modify config.properties file even if the user makes changes through Settings dialog.","","true","false","false"
"dataAccess.name","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","","true","false","false"
"dataAccess.readBatchSize","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","200","false","false","false"
"dataAccess.readCharset","","Override system default charset by specifying charset to use for import operations. Set it to UTF-8, UTF-16BE, UTF-16LE, UTF-32BE, or UTF-32LE to handle import CSVs with Byte Order Mark (BOM) character.","UTF-8","true","false","false"
"dataAccess.readUTF8","Read all CSVs with UTF-8 encoding:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","false","false","false","false"
"dataAccess.type","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","","true","false","false"
"dataAccess.writeBatchSize","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","500","true","false","false"
"dataAccess.writeCharset","","Override system default charset by specifying charset to use for export operations. Set it to UTF-8 or UTF-16 to write export CSVs with Byte Order Mark (BOM) character.","UTF-8","false","false","false"
"dataAccess.writeUTF8","Write all CSVs with UTF-8 encoding:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","false","false","false","false"
"datefield.usegmt","","Override timezone specified in sfdc.timezone property by using GMT timezone for Date and Datetime fields in an upload operation.","false","true","false","false"
"loader.bufferUnprocessedBulkQueryResults","","Save server results of an export made using Bulk v2 API in a temporary file before doing any client-side processing on results to minimize the chances of connection disruption resulting in failure to retrieve results even though the export operation succeeds.","false","true","false","false"
"loader.cacheSObjectNamesAndFields","Cache Salesforce object and field information across operations:","","true","false","false","false"
"loader.csvComma","Allow comma as a CSV delimiter for load operations:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","true","false","false","false"
"loader.csvOther","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","false","false","false","false"
"loader.csvOtherValue","Other Delimiters for load operations:
(enter multiple values with no separator; for example, !+?)","See ""Allow other characters as CSV delimiters"" at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","","false","false","false"
"loader.csvTab","Allow Tab as a CSV delimiter for load operations:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/configuring_the_data_loader.htm","true","false","false","false"
"loader.hideWelcome","Show Welcome screen:","","true","false","false","false"
"loader.query.delimiter","Delimiter for query results:","",",","false","false","false"
"loader.query.includeBinaryData","Include image content in query results of Rich Text Fields:","","false","false","false","false"
"loader.query.limitOutputToQueryFields","Limit query result fields to the fields specified in the SOQL query:","","true","false","false","false"
"loader.ui.showUpgrade","Show the dialog to download the latest version:","Show upgrade dialog if a newer version is available when launching data loader in UI mode.","true","false","false","false"
"process.batchMode.exitWithErrorOnFailedRows","","Exit with error code 4 in batch mode if set to true when the operation is successful but results contain one or more rows with an error.","false","true","false","false"
"process.bulk.cacheDataFromDao","","Use the data read from CSV or database during import to store success and failure results.","true","true","false","false"
"process.bulk.saveServerLoadAndRawResultsInCSV","","Save upload data after mapping CSV column headers to Salesforce fields and upload results before mapping them to import CSV column headers.","false","true","false","false"
"process.enableExtractStatusOutput","Generate status files for exports:","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","false","false","false","false"
"process.enableLastRunOutput","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","true","true","false","false"
"process.encryptionKeyFile","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","","true","false","false"
"process.initialLastRunDate","","Details documented at https://developer.salesforce.com/docs/atlas.en-us.dataLoader.meta/dataLoader/loader_params.htm","","false","false","false"
